EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
10,1.04,0,0,0,0,0,0,0,0,0,0,0,0
12,4.04,0,0,0,0,0,0,0,0,0,0,0,0
21,16.32,3,1,0,1,4,921600,3,0,0,0,921600,0
27,4.12,0,0,0,0,0,0,0,0,0,0,0,0
28,5.92,0,0,0,0,0,0,0,0,0,0,0,0
29,7.76,0,0,0,0,0,0,0,0,0,0,0,0
44,6.76,10920,3640,0,3640,0,0,3371,0,0,0,0,0
45,4.64,1404,468,0,468,0,0,533,0,0,0,0,0
46,4.04,6633,2211,0,2211,0,0,1577,0,0,0,0,0
47,3.40,4086,1362,0,1362,0,0,966,0,0,0,0,0
48,27.48,324,108,0,108,317,130082,130,0,0,0,332757,0
49,38.08,840,280,0,280,595,76428,568,0,0,0,187566,0
50,48.44,6996,2332,0,2332,2072,64022,2113,0,0,0,308676,0
51,47.84,4368,1456,0,1456,77,1139,1750,0,0,0,3260,0
52,57.12,8688,2896,0,2896,2563,65498,3277,0,0,0,306023,0
53,48.68,48,16,0,16,40,17012,16,0,0,0,115412,0
54,45.40,6996,2332,0,2332,1849,100220,2113,0,0,0,241895,0
55,30.40,3288,1096,0,1096,764,9896,1200,0,0,0,26484,0
56,51.20,11040,3680,0,3680,4113,184830,6468,0,0,0,636484,0
57,43.48,612,204,0,204,241,29291,218,0,0,0,73822,0
58,42.64,612,204,0,204,237,25899,214,0,0,0,92456,0
59,32.36,444,148,0,148,0,0,142,0,0,0,0,0
60,31.16,480,160,0,160,0,0,132,0,0,0,0,0
61,12.28,336,112,0,112,0,0,124,0,0,0,0,0
62,9.40,480,160,0,160,0,0,132,0,0,0,0,0
63,5.72,336,112,0,112,0,0,124,0,0,0,0,0
64,5.12,480,160,0,160,0,0,132,0,0,0,0,0
65,4.56,336,112,0,112,0,0,124,0,0,0,0,0
66,4.08,480,160,0,160,0,0,132,0,0,0,0,0
67,3.52,336,112,0,112,0,0,124,0,0,0,0,0
68,3.08,480,160,0,160,0,0,132,0,0,0,0,0
69,2.52,336,112,0,112,0,0,124,0,0,0,0,0
70,2.04,480,160,0,160,0,0,132,0,0,0,0,0
71,1.68,336,112,0,112,0,0,124,0,0,0,0,0
72,1.44,480,160,0,160,0,0,132,0,0,0,0,0
73,1.44,336,112,0,112,0,0,124,0,0,0,0,0
74,1.40,480,160,0,160,0,0,132,0,0,0,0,0
75,1.44,336,112,0,112,0,0,124,0,0,0,0,0
76,1.40,480,160,0,160,0,0,132,0,0,0,0,0
77,1.40,336,112,0,112,0,0,124,0,0,0,0,0
78,1.48,1320,440,0,440,0,0,892,0,0,0,0,0
79,3.00,96,32,0,32,40,1476,56,0,0,0,15525,0
80,3.36,840,280,0,280,13,4,568,0,0,0,80,0
81,36.96,162,54,0,54,83,152550,66,0,0,0,680135,0
82,36.40,726,242,0,242,0,0,318,0,0,0,0,0
83,35.84,72,24,0,24,0,0,48,0,0,0,0,0
84,35.16,246,82,0,82,0,0,98,0,0,0,0,0
85,34.48,72,24,0,24,0,0,48,0,0,0,0,0
86,10.00,1668,556,0,556,367,9632,710,0,0,0,26853,0
87,10.60,150,50,0,50,140,1965,92,0,0,0,17024,0
88,11.96,10224,3408,0,3408,1036,2565,5959,0,0,0,10442,0
89,11.56,150,50,0,50,0,0,92,0,0,0,0,0
90,11.56,15,5,0,5,0,0,7,0,0,0,0,0
91,9.60,4080,1360,0,1360,1012,8453,1861,0,0,0,26170,0
92,32.52,11208,3736,0,3736,3690,130370,3905,0,0,0,527955,0
93,49.00,69624,23208,0,23208,18374,108076,24320,0,0,0,394684,0
94,48.48,54,18,0,18,0,0,36,0,0,0,0,0
95,47.96,192,64,0,64,76,1897,120,0,0,0,24114,0
